,Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Timestamp
2743,shoprite newark de jobs,51,51,90,77.96,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.17,61,8/16/2020
2744,what were the first donuts ever made called,33,33,30,70.44,0.0,https://news.dunkindonuts.com/internal_redirect/cms.ipressroom.com.s3.amazonaws.com/285/files/201610/Dunkin%27%20Donuts%20History_11%203%2016.pdf,0,0.0,0,0.0,40600000,8/16/2020
2745,show me starbucks near me,78,78,390,88.84,0.0,https://www.dunkindonuts.com/en/food-drinks/frozen-drinks/frozen-iced-coffee,0,0.0,0,0.01,236000000,8/16/2020
2746,fake butter ingredients,98,98,30,85.28,0.0,https://www.dunkindonuts.com/content/dam/dd/pdf/allergy_ingredient_guide.pdf,0,0.0,0,0.52,28200000,8/28/2020
2747,all day cafe roanoke va,61,61,30,79.18,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,2730000,8/17/2020
2748,dairy free iced coffee,89,89,170,66.64,2.62,https://news.dunkindonuts.com/blog/vegan-menu-dunkin,0,0.0,0,0.99,16500000,8/26/2020
2749,distance new york detroit,83,83,30,78.3,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,64100000,8/23/2020
2750,register your samsung device for free google play credits,61,61,30,76.14,0.0,https://www.dunkindonuts.com/en/dd-cards/mobile-app,0,0.0,0,0.0,33900000,8/19/2020
2751,breakfast with santa naperville 2018,43,43,40,66.11,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,10,8/16/2020
2752,dunkin auto,4,4,90,62.19,0.0,https://news.dunkindonuts.com/blog?t=Auto+Reload,1,0.0,0,0.0,18400000,8/21/2020
2753,dunkin auto,3,3,90,62.19,0.0,https://news.dunkindonuts.com/blog/how-to-set-up-auto-reload-on-the-dunkin-mobile-app,1,0.0,0,0.0,18400000,8/21/2020
2754,how is cold brew coffee different from iced coffee,41,41,30,76.9,0.0,https://news.dunkindonuts.com/blog/difference-between-dunkin-iced-coffee-cold-brew,0,0.0,0,0.0,10700000,8/17/2020
2755,cookie butter latte coffee bean,92,92,30,75.63,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-latte,0,0.0,0,0.12,2870000,8/18/2020
2756,burlington lancaster ca,96,96,320,85.72,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,8710000,8/24/2020
2757,dunkin donuts candy,5,5,90,85.85,0.0,https://news.dunkindonuts.com/blog/dunkin-hershey-candy-flavors-2019,4,0.0,0,0.82,2540000,8/17/2020
2758,dunkin donuts candy,4,4,90,85.85,0.0,https://news.dunkindonuts.com/news/enjoy-a-sweet-escape-at-dunkin-with-new-hershey-candy-flavors,6,0.0,0,0.82,2540000,8/17/2020
2759,nutella milkshake near me,43,43,20,81.99,1.91,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.09,27500000,8/19/2020
2760,small cupcake calories,91,91,210,82.08,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-coffee,0,0.0,0,0.0,3880000,8/24/2020
2761,ct eats,97,97,90,72.48,0.0,https://www.dunkindonuts.com/en/dunkin-delivers,0,0.0,0,0.01,30300000,8/24/2020
2762,graham munchkin ingredients,45,45,70,68.08,0.0,https://news.dunkindonuts.com/blog/chefs-corner:-celebrate-national-smores-day-with-smores-munchkinsR-donut-hole-treats-fonddue,0,0.0,0,0.0,95,8/5/2020
2763,donuts to go prices,15,15,30,86.19,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,14800000,8/17/2020
2764,for that delivers near me,16,16,50,92.52,3.89,https://www.dunkindonuts.com/en/dunkin-delivers,0,0.0,0,0.44,323000000,8/18/2020
2765,directions to midland ontario,66,66,30,73.4,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,5320000,8/17/2020
2766,metro by t mobile victoria,90,90,20,87.41,6.73,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.7,37200000,8/17/2020
2767,green tea latte with espresso,49,49,70,65.03,0.0,https://news.dunkindonuts.com/news/make-way-for-matcha-lattes-at-dunkin,0,0.0,0,0.02,22800000,8/24/2020
2768,ice cream gastonia,88,88,50,80.92,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,45,8/18/2020
2769,milford ct restaurants downtown,90,90,30,70.45,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,855000,8/17/2020
2770,best breakfast in carson ca,96,96,20,87.52,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.01,100,8/29/2020
2771,are there carbs in herbal tea,41,41,50,81.81,0.0,https://www.dunkindonuts.com/en/menu/teas-and-more/tea,0,0.0,0,0.0,1990000,8/19/2020
2772,dunkin donuts perks customer service,4,4,40,83.5,0.0,https://www.dunkindonuts.com/en/about/contact-us/restaurant-visit,0,0.0,0,0.0,449000,8/24/2020
2773,dunkin donuts perks customer service,7,7,40,83.5,0.0,https://www.dunkindonuts.com/en/about/contact-us/faqs,0,0.0,0,0.0,449000,8/24/2020
2774,dunkin donuts perks customer service,1,1,40,83.5,0.0,https://www.dunkindonuts.com/en/dd-perks/dd-perks-terms-and-conditions,32,0.0,0,0.0,449000,8/24/2020
2775,dunkin donuts perks customer service,3,3,40,83.5,0.0,https://news.dunkindonuts.com/contacts,0,0.0,0,0.0,449000,8/24/2020
2776,dunkin donuts perks customer service,2,2,40,83.5,0.0,https://www.dunkindonuts.com/en/about/contact-us,1,0.0,0,0.0,449000,8/24/2020
2777,dunkin donuts perks customer service,6,6,40,83.5,0.0,https://www.dunkindonuts.com/en/dd-perks,0,0.0,0,0.0,449000,8/24/2020
2778,dunkin donuts perks customer service,5,5,40,83.5,0.0,https://www.dunkindonuts.com/en/about/contact-us/confirmation,0,0.0,0,0.0,449000,8/24/2020
2779,macchiato mcdonalds,55,55,140,85.51,0.0,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,0,0.0,0,0.0,86,8/25/2020
2780,erie island coffee menu,54,54,30,87.65,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.01,2520000,7/21/2020
2781,wifi tos,93,93,40,80.89,0.0,https://www.dunkindonuts.com/en/terms-of-use,0,0.0,0,0.11,22100000,8/15/2020
2782,is dunkin donuts open on new years day,13,13,480,83.64,0.0,https://www.dunkindonuts.com/,4,0.0,0,0.0,6530000,8/16/2020
2783,burgers brew & que,99,99,210,81.72,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.02,644000,8/29/2020
2784,breakfast station leesburg,85,85,110,83.62,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.01,93,8/18/2020
2785,coffee with cream nutrition,8,8,70,85.61,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-coffee,2,0.0,0,0.0,0,8/15/2020
2786,us shell coupon code,63,63,90,79.25,0.0,https://news.dunkindonuts.com/news/shell-and-dunkin-announce-partnership-and-loyalty-promotion-through-fuel-rewardsR-program,0,0.0,0,0.0,17400000,8/29/2020
2787,coffee catering minneapolis,97,97,20,50.99,2.96,https://www.dunkindonuts.com/,0,0.0,0,0.56,32,8/19/2020
2788,gas prices bangor maine,97,97,170,80.4,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,689000,8/16/2020
2789,is s mores frap still available,61,61,40,89.29,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,13300000,8/17/2020
2790,1 egg white calories,70,70,1900,86.72,0.0,https://www.dunkindonuts.com/en/food-drinks/sandwiches-wraps/veggie-egg-white-flatbread,0,0.0,0,0.0,166000000,8/26/2020
2791,bagel and cream cheese toppings,50,50,30,73.96,0.0,https://www.dunkindonuts.com/en/menu/bagels-and-muffins/bagels,0,0.0,0,0.0,1550000,8/19/2020
2792,vegan egg and cheese sandwich,64,64,90,68.35,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,0,0.0,0,0.02,165000000,8/24/2020
2793,18 arlington st fitchburg ma,79,79,30,82.91,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,92,8/15/2020
2794,donut store,13,13,2900,81.77,1.51,https://www.dunkindonuts.com/en/locations,26,0.0,39,0.2,154000000,8/27/2020
2795,the first ever bike,62,62,90,75.34,0.0,https://news.dunkindonuts.com/blog/dunkin-delivers-grubhub-seamless-bike,0,0.0,0,0.05,553000000,8/23/2020
2796,happy monday coffee,54,54,590,78.6,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,99,8/17/2020
2797,frozen iced tea lemonade,38,38,40,80.32,0.0,https://www.dunkindonuts.com/en/food-drinks/frozen-drinks,0,0.0,0,0.0,5530000,8/14/2020
2798,how fast can you drive on a donut,74,74,1000,80.69,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,30100000,8/19/2020
2799,national space day,21,15,480,71.0,0.0,https://news.dunkindonuts.com/blog?t=National+Space+Day,0,0.0,0,0.0,3470000000,8/30/2020
2800,brunch in salisbury,74,74,40,80.15,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,89,8/15/2020
2801,100 free ecards,54,54,70,72.21,0.75,https://www.dunkindonuts.com/en/dd-cards/gift-cards,0,0.0,0,0.64,9770000,8/3/2020
2802,vanilla pudding calories,54,54,210,83.33,0.0,https://www.dunkindonuts.com/en/food-drinks/donuts/donuts,0,0.0,0,0.03,0,8/12/2020
2803,old fashioned dressing for thanksgiving,47,47,110,80.46,0.0,https://news.dunkindonuts.com/blog/dunksgiving-dressing:-old-fashioned-donut-dressing,0,0.0,0,0.0,2660000,8/18/2020
2804,coffee cream cake,50,50,320,80.35,1.98,https://news.dunkindonuts.com/blog/dunkin-creamers-boston-kreme-coffee-cake,0,0.0,0,0.32,488000000,8/16/2020
2805,bucharest restaurant prices,80,80,50,74.28,0.0,https://www.dunkindonuts.com/en/menu/donuts/donuts,0,0.0,0,0.0,90,8/18/2020
2806,coffee standards quality,25,25,50,58.29,0.0,https://news.dunkindonuts.com/internal_redirect/cms.ipressroom.com.s3.amazonaws.com/285/files/20166/Our%20Commitment%20to%20Coffee%20Fact%20Sheet%207%2013.pdf,0,0.0,0,0.14,95,8/13/2020
2807,denny's menu specials,88,88,260,79.86,0.96,https://www.dunkindonuts.com/en/dd-perks,0,0.0,0,0.09,97,8/17/2020
2808,ny utc,97,97,70,84.14,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,108000000,8/15/2020
2809,show me a picture of a donkey,96,96,320,89.19,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.93,42400000,8/19/2020
2810,the dunkin save,11,11,50,86.64,0.0,https://news.dunkindonuts.com/blog/dunkin-spot-the-runner-sweepstakes-kicks-off-on-americas-got-talent,2,0.0,0,0.0,83,8/18/2020
2811,how to get free town points on town of salem,52,52,50,82.66,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.03,13100000,8/15/2020
2812,does uber eats deliver dunkin donuts,1,1,50,90.66,2.24,https://www.dunkindonuts.com/en/dunkin-delivers,40,0.0,89,0.45,76,8/18/2020
2813,does uber eats deliver dunkin donuts,2,2,50,90.66,2.24,https://news.dunkindonuts.com/news/dunkin-expands-delivery-options-through-new-partnership-with-uber-eats,1,0.0,2,0.45,76,8/18/2020
2814,breakfast restaurants in glendale az,96,96,50,86.26,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.01,48,8/24/2020
2815,mobile order pickup,10,10,50,89.32,3.17,https://news.dunkindonuts.com/blog/how-to-use-on-the-go-mobile-ordering-on-the-dunkin-mobile-app,1,0.0,4,0.12,869000000,8/16/2020
2816,baskin robbins near me now,19,19,1000,85.86,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,70,8/18/2020
2817,jones knowles ritchie logo,39,39,50,80.8,0.0,https://news.dunkindonuts.com/news/dunkin-donuts-appoints-jones-knowles-ritchie-as-creative-partner-for-brand-identity-and-branding-strategy,0,0.0,0,0.0,69,8/18/2020
2818,signature latte dunkin,4,4,260,84.25,1.48,https://news.dunkindonuts.com/blog?t=Signature+Latte,3,0.0,5,0.06,66,8/10/2020
2819,signature latte dunkin,3,3,260,84.25,1.48,https://news.dunkindonuts.com/news/dunkin-espresso-new-signature-lattes,4,0.0,6,0.06,66,8/10/2020
2820,signature latte dunkin,1,1,260,84.25,1.48,https://news.dunkindonuts.com/blog/what-is-signature-latte-dunkin,208,0.0,307,0.06,66,8/10/2020
2821,signature latte dunkin,2,2,260,84.25,1.48,https://www.dunkindonuts.com/en/food-drinks/iced-drinks/iced-latte,6,0.0,10,0.06,66,8/10/2020
2822,7 on your side austin,87,87,70,83.79,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,436000000,8/15/2020
2823,coram alternate site services,77,77,170,76.74,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.01,73,8/28/2020
2824,calories in sausage gravy,78,78,590,79.66,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,0,0.0,0,0.0,3560000,8/16/2020
2825,average egg nutrition,86,86,30,81.78,0.0,https://www.dunkindonuts.com/en/menu/nutrition,0,0.0,0,0.0,64300000,8/23/2020
2826,bag of donuts cover band,95,95,20,58.31,0.0,https://www.dunkindonuts.com/en/shop,0,0.0,0,0.0,7520000,8/27/2020
2827,beverage hill,81,81,40,84.73,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,99100000,8/16/2020
2828,baskin robbins euless tx,39,39,50,89.45,0.0,https://news.dunkindonuts.com/news/dunkin-donuts-announces-plans-for-65-new-restaurants-in-dallas-fort-worth-area-including-several-multi-brand-locations-with-baskin-robbins,0,0.0,0,0.0,73,7/28/2020
2829,iced coffee with hot chocolate mix,93,75,30,74.14,0.0,https://www.dunkindonuts.com/en/food-drinks/hot-drinks/hot-chocolate,0,0.0,0,0.1,18700000,8/30/2020
2830,donut delivery seattle,71,71,210,77.47,2.4,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.78,57,8/29/2020
2831,donuts orland park,85,85,70,86.21,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.06,10,8/23/2020
2832,cheap pancakes near me,50,50,140,85.25,2.01,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.08,306000000,8/14/2020
2833,munchkin blue,55,55,40,83.09,0.0,https://www.dunkindonuts.com/en/menu/donuts,0,0.0,0,0.33,100,8/25/2020
2834,iphone app order,38,38,140,87.97,0.0,https://www.dunkindonuts.com/en/dd-cards/mobile-app,0,0.0,0,0.82,1520000000,8/29/2020
2835,dunkin donuts app not compatible,2,2,90,78.54,0.0,https://www.dunkindonuts.com/en/dd-cards/mobile-app,11,0.0,0,0.0,45,8/26/2020
2836,are bagels healthy for you,62,62,170,83.47,0.0,https://www.dunkindonuts.com/en/food-drinks/ddsmart/multigrain-bagel,0,0.0,0,0.0,0,8/15/2020
2837,where can i find a cheap keurig,54,54,30,88.87,0.0,https://news.dunkindonuts.com/blog/fathers-day-gift-ideas-keurig-dunkin,0,0.0,0,0.75,8060000,8/19/2020
2838,dunkin donuts order online pickup in store,3,3,170,86.6,2.94,https://news.dunkindonuts.com/blog/how-to-order-dunkin-on-the-go-mobile-ordering-through-amazon-alexa,3,0.0,8,0.2,961000,8/17/2020
2839,dunkin donuts order online pickup in store,7,7,170,86.6,2.94,https://www.dunkindonuts.com/en/covid-19/info,1,0.0,3,0.2,961000,8/17/2020
2840,dunkin donuts order online pickup in store,1,1,170,86.6,2.94,https://news.dunkindonuts.com/blog/how-to-use-on-the-go-mobile-ordering-on-the-dunkin-mobile-app,136,0.0,399,0.2,961000,8/17/2020
2841,dunkin donuts order online pickup in store,8,8,170,86.6,2.94,https://www.dunkindonuts.com/en/dd-cards/mobile-app,1,0.0,2,0.2,961000,8/17/2020
2842,dunkin donuts order online pickup in store,4,4,170,86.6,2.94,https://news.dunkindonuts.com/blog/five-easy-ways-to-place-a-mobile-order-at-dunkin,2,0.0,6,0.2,961000,8/17/2020
2843,dunkin donuts order online pickup in store,6,6,170,86.6,2.94,https://news.dunkindonuts.com/news/dunkin-donuts-on-the-go-mobile-ordering-now-available-nationwide,1,0.0,4,0.2,961000,8/17/2020
2844,dunkin donuts order online pickup in store,2,2,170,86.6,2.94,https://news.dunkindonuts.com/blog/dunkin-how-to-curbside-pickup,4,0.0,12,0.2,961000,8/17/2020
2845,dunkin donuts order online pickup in store,5,5,170,86.6,2.94,https://news.dunkindonuts.com/blog/dunkin-order-ahead-drive-thru-pickup,1,0.0,4,0.2,961000,8/17/2020
2846,egg white bowl,1,1,110,82.85,4.99,https://news.dunkindonuts.com/news/dunkin-further-powers-up-its-menu-with-two-new-dunkin-bowls-sausage-scramble-bowl-and-egg-white-bowl,51,0.0,257,0.72,431000000,8/26/2020
2847,hampton plattsburgh ny,98,98,20,89.31,0.5,https://www.dunkindonuts.com/,0,0.0,0,0.36,659000,8/25/2020
2848,dunkin donuts great wolf lodge,5,5,140,86.04,5.95,https://news.dunkindonuts.com/news/dunkin-donuts-opens-eighth-great-wolf-lodge-location-in-colorado-springs,1,0.0,8,0.13,179000,8/17/2020
2849,dunkin donuts great wolf lodge,6,6,140,86.04,5.95,https://news.dunkindonuts.com/news/dunkin-donuts-opens-fifth-great-wolf-lodge-location,1,0.0,8,0.13,179000,8/17/2020
2850,places to get pictures printed near me,76,76,40,83.18,2.17,https://www.dunkindonuts.com/,0,0.0,0,0.24,7710000000,8/14/2020
2851,free hot website,32,63,70,78.35,0.0,https://www.dunkindonuts.com/en/dd-perks,0,0.0,0,0.0,25270000000,8/30/2020
2852,free hot website,33,0,70,78.35,0.0,https://news.dunkindonuts.com/news/dd-perks-free-coffee-mondays-and-free-donut-fridays,0,0.0,0,0.0,25270000000,8/30/2020
2853,hot cream ingredients,80,0,40,67.17,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/coffee,0,0.0,0,0.86,705000000,8/30/2020
2854,women's hockey league teams,65,65,40,74.18,0.0,https://news.dunkindonuts.com/news/dunkin-nwhl,0,0.0,0,0.0,0,8/27/2020
2855,how to get emojis on instagram story,92,92,70,84.0,0.0,https://news.dunkindonuts.com/blog/happy-world-emoji-day-learn-how-to-get-dunkin-emojis-on-instagram,0,0.0,0,0.0,87300000,8/17/2020
2856,beyond meat sausage nutrition information,10,10,20,86.14,0.67,https://www.dunkindonuts.com/en/menu/sandwiches-and-more/beyond-sausage,0,0.0,0,0.19,7060000,8/26/2020
2857,newrest colnbrook,20,20,50,69.93,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,41,8/24/2020
2858,white donuts,23,23,880,71.3,1.29,https://www.dunkindonuts.com/en/menu/donuts/donuts,1,0.0,1,0.87,92300000,8/23/2020
2859,erie brewing pumpkin,81,81,30,75.42,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,20,8/14/2020
2860,great location show map,26,26,90,91.11,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,5180000000,8/27/2020
2861,caramel frappe sizes,66,66,30,81.27,0.0,https://www.dunkindonuts.com/en/menu/frozen-drinks/frozen-iced-coffee,0,0.0,0,0.16,1370000,8/25/2020
2862,dunkin donuts pumpkin spice coffee carbs,3,3,30,85.45,0.0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf,2,0.0,0,0.5,80,8/16/2020
2863,best coffee blind taste test,80,80,70,86.38,0.0,https://news.dunkindonuts.com/news/winner-in-the-battle-of-the-brews:-dunkin-donuts-beat-starbucks-in-independent-nationwide-taste-test,0,0.0,0,0.0,23700000,8/24/2020
2864,magnolia bakery new jersey,91,91,30,87.89,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.02,1080000,8/20/2020
2865,apps give money on sign up,100,100,30,74.27,0.0,https://www.dunkindonuts.com/en/dd-perks,0,0.0,0,0.43,4740000000,8/20/2020
2866,e gifts for dad,71,71,30,85.81,0.0,https://news.dunkindonuts.com/blog/dunkin-fathers-day-gifts,0,0.0,0,0.91,104000000,7/18/2020
2867,hoboken delivery open now,68,68,50,74.32,2.45,https://www.dunkindonuts.com/en/dunkin-delivers,0,0.0,0,0.33,14800000,8/19/2020
2868,distance from london ontario to buffalo new york,58,58,40,77.72,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,5560000,8/21/2020
2869,grubhub cash,33,33,1000,89.56,1.54,https://www.dunkindonuts.com/en/dunkin-delivers,0,0.0,0,0.24,3690000,8/18/2020
2870,how to make a persian doughnut,47,47,40,72.16,0.0,https://www.dunkindonuts.com/en/menu/donuts,0,0.0,0,0.05,1380000,8/15/2020
2871,person drinking iced tea,31,31,40,87.86,0.0,https://www.dunkindonuts.com/en/menu/teas-and-more/iced-tea,0,0.0,0,0.0,31700000,8/15/2020
2872,strawberry ice blended,71,71,40,79.31,0.0,https://www.dunkindonuts.com/en/menu/frozen-drinks,0,0.0,0,0.0,11400000,8/16/2020
2873,dd media,98,98,90,72.92,0.0,https://news.dunkindonuts.com/,0,0.0,0,0.0,883000000,8/14/2020
2874,donut delivery arlington tx,18,18,40,86.27,0.0,https://www.dunkindonuts.com/,0,0.0,0,1.0,19,8/21/2020
2875,dunkin donuts hershey coupons,5,5,50,78.12,0.0,https://www.dunkindonuts.com/en/menu/offers-promotions,2,0.0,0,0.0,658000,8/16/2020
2876,spring break marietta ga,86,86,90,65.91,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,98,8/15/2020
2877,redeem starbucks coffee bags,94,94,40,77.89,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,316000,8/24/2020
2878,pick me app,66,66,260,69.22,2.18,https://www.dunkindonuts.com/en/dd-cards/mobile-app,0,0.0,0,0.03,2320000000,8/23/2020
2879,birthday freebies dallas 2018,62,62,40,66.04,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,1230000,8/15/2020
2880,is breakfast served all day at dunkin donuts,1,1,40,82.48,1.51,https://news.dunkindonuts.com/news/dunkin-donuts-expands-its-popular-all-day-breakfast-menu-with-new-limited-time-offer-maple-cheddar-sandwich,32,0.0,48,0.09,919000,8/14/2020
2881,is breakfast served all day at dunkin donuts,2,2,40,82.48,1.51,https://www.dunkindonuts.com/en/food-drinks/sandwiches-wraps,1,0.0,1,0.09,919000,8/14/2020
2882,dunkin donuts truck driver jobs,5,5,90,82.49,3.95,https://www.dunkindonuts.com/en/careers,4,0.0,17,0.61,81,8/21/2020
2883,glazed donut burger near me,29,29,90,87.02,2.22,https://news.dunkindonuts.com/file?fid=56afcab0acae6e374ce05291,0,0.0,0,0.21,30800000,8/28/2020
2884,dunkin donuts casa grande,48,48,90,85.44,0.0,https://www.dunkindonuts.com/es,0,0.0,0,0.02,465000,8/20/2020
2885,what is the closest mall,82,82,40,83.58,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.02,328000000,8/21/2020
2886,best donuts ontario,69,69,90,79.63,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,2840000,8/20/2020
2887,roast beef smart points,83,83,40,74.46,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,0,0.0,0,0.0,61,8/17/2020
2888,ice cream shops in champaign il,92,92,70,77.83,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,30,8/19/2020
2889,where can i do donuts legally,62,62,50,82.02,0.0,https://www.dunkindonuts.com/en/terms-of-use,0,0.0,0,0.0,67,8/21/2020
2890,national pike restaurant farmington pa,78,78,30,85.01,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,89,8/19/2020
2891,st george express schedule,94,94,90,77.98,0.37,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.03,434000000,8/15/2020
2892,apps that give you gift cards,92,92,260,75.88,0.73,https://www.dunkindonuts.com/en/dd-cards/gift-cards,0,0.0,0,0.43,0,8/19/2020
2893,nearest coffee house to me,61,61,30,73.44,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.11,400000000,8/27/2020
2894,newark to st paul,88,88,30,83.62,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,35900000,8/23/2020
2895,lucky perk menu,39,39,170,86.69,0.0,https://news.dunkindonuts.com/news,0,0.0,0,0.0,3360000,8/26/2020
2896,minot nd gas stations,88,88,40,77.13,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,628000,8/29/2020
2897,k cups cheap dunkin donuts,5,5,50,88.59,0.0,https://www.dunkindonuts.com/en/food-drinks/brew-at-home/k-cups,2,0.0,0,0.0,692000,8/24/2020
2898,going away ecard,56,56,20,77.03,0.97,https://www.dunkindonuts.com/en/dd-cards/gift-cards,0,0.0,0,0.7,4540000,8/15/2020
2899,bagels long beach,76,76,320,78.15,1.13,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.05,10100000,8/18/2020
2900,starbucks ca card register,98,98,70,76.52,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,2090000,8/19/2020
2901,best restaurants near lax 2018,60,60,90,84.15,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.05,65,8/28/2020
2902,reno meeting rooms,79,79,30,71.88,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.11,5030000,8/14/2020
2903,run on stores,90,90,320,83.43,2.52,https://www.dunkindonuts.com/,0,0.0,0,0.49,1920000000,8/19/2020
2904,peoria cafe az hours,62,62,30,81.94,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,80,8/14/2020
2905,places to eat in west plains missouri,84,85,30,84.77,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,99,8/30/2020
2906,jobs hiring near me part time for 17 year olds,25,25,260,82.32,0.73,https://www.dunkindonuts.com/en/careers,0,0.0,0,0.4,98,8/16/2020
2907,soy milk light nutritional information,83,83,70,85.73,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/cold-brew,0,0.0,0,0.0,10800000,8/17/2020
2908,green mountain breakfast blend k cups nutrition,86,86,90,80.85,0.0,https://www.dunkindonuts.com/en/food-drinks/brew-at-home/k-cups,0,0.0,0,0.94,91,8/22/2020
2909,learn direct login,62,62,50,71.39,0.0,https://www.dunkindonuts.com/en/sign-in,0,0.0,0,0.0,1480000000,8/16/2020
2910,protein in muffins,83,83,30,73.8,0.0,https://www.dunkindonuts.com/en/food-drinks/bakery-snacks/muffins,0,0.0,0,0.01,55400000,8/18/2020
2911,mobile again,91,91,30,78.94,0.0,https://www.dunkindonuts.com/en/dd-cards/mobile-app,0,0.0,0,0.0,4610000000,8/16/2020
2912,small bags of coffee for gifts,48,48,40,73.63,0.0,https://www.dunkindonuts.com/en/shop,0,0.0,0,1.0,327000000,8/19/2020
2913,almond breeze milk vanilla nutrition facts,72,72,30,82.94,0.0,https://news.dunkindonuts.com/blog,0,0.0,0,0.26,428000,8/23/2020
2914,does dunkin donuts offer health insurance,9,9,30,79.26,0.0,https://www.dunkindonuts.com/en/careers,0,0.0,0,0.14,1910000,8/17/2020
2915,what's better cappuccino or latte,5,5,90,74.79,0.0,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,4,0.0,0,0.4,59900000,8/19/2020
2916,check out your birth date and your character,87,87,90,78.94,0.0,https://www.dunkindonuts.com/en/dd-perks/registration,0,0.0,0,0.0,4240000000,8/14/2020
2917,cup design,39,48,5400,81.98,0.85,https://news.dunkindonuts.com/blog/Americas-got-talent-design-a-cup,3,0.0,3,1.0,1500000000,8/30/2020
2918,cup design,40,0,5400,81.98,0.85,https://news.dunkindonuts.com/blog/dunkin-the-story-behind-holiday-cups,3,0.0,3,1.0,1500000000,8/30/2020
2919,how do i unlock filters on snapchat,87,87,40,82.92,0.0,https://news.dunkindonuts.com/blog/unlocksnapfilters,0,0.0,0,0.0,4490000,8/16/2020
